ID_NUMBER,ACTIVITY_LOCATION,ENFORCEMENT_IDENTIFIER,ENFORCEMENT_TYPE,ENFORCEMENT_DESC,ENFORCEMENT_AGENCY,ENFORCEMENT_ACTION_DATE,PMP_AMOUNT,FMP_AMOUNT,FSC_AMOUNT,SCR_AMOUNT
ALD983178120,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/04/1992,,,,
ALD983178401,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/01/1995,,,,
ALD983179193,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/24/1998,,,,
ALD983179219,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/15/1993,,,,
ALD983179466,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/03/1992,,97000,,
ALD983179748,AL,1,AL213,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/09/2003,,,,
ALD983179748,AL,1,AL115,WARNING LETTER,S  ,06/26/2012,,,,
ALD983179748,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/07/1996,,,,
ALD983179789,AL,1,AL115,WARNING LETTER,S  ,06/10/2009,,,,
ALD983180175,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/25/1998,,,,
ALD983180175,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,07/08/1998,,5000,,
ALD983180233,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,10/07/2002,,,,
ALD983180597,AL,1,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/04/2000,,,,
ALD983180597,AL,1,AL115,WARNING LETTER,S  ,08/18/2014,,,,
ALD983180639,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/12/1998,,,,
ALD983181728,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/20/1991,,,,
ALD983181827,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/31/1996,,,,
ALD983181827,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/11/1996,,,,
ALD983182064,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/01/1991,,,,
ALD983183039,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/21/1992,,,,
ALD983184284,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/03/1992,5000,,,
ALD983184292,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/15/1990,,,,
ALD983184425,AL,1,AL213,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/23/2001,,,,
ALD983184425,AL,1,AL115,WARNING LETTER,S  ,03/18/2015,,,,
ALD983185729,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/27/1992,,,,
ALD983185828,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/22/2003,,,,
ALD983185828,AL,1,AL115,WARNING LETTER,S  ,02/19/2009,,,,
ALD983187873,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/05/2013,,,,
ALD983188293,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/27/2003,,,,
ALD983188293,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,11/26/2003,,29400,,
ALD983188335,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/07/1998,,,,
ALD983190646,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/25/1996,,,,
ALD983190786,AL,1,HQ120,WRITTEN INFORMAL ,S  ,03/25/2013,,,,
ALD983191206,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,08/16/2011,43825,,,
ALD983191420,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/29/1998,,,,
ALD983191511,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/25/1992,,,,
ALD983191537,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/12/2006,,,,
ALD983191651,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/20/2002,,,,
ALD983191651,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/11/1998,,,,
ALD983192048,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/14/1994,,,,
ALD983192139,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/09/1993,,,,
ALD983192139,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/23/1994,,,,
ALD983192170,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/17/1996,,,,
ALD983192246,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/25/2002,,,,
ALD983192246,AL,1,HQ120,WRITTEN INFORMAL ,S  ,06/02/2003,,,,
ALD983192246,AL,1,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/04/2003,,,,
ALD983192402,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/18/1996,,,,
ALD983192402,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/07/1997,,,,
ALD983192402,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/05/1998,,,,
ALD983192402,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/04/1998,,,,
ALD983192576,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/06/1999,,,,
ALD983192881,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/16/2002,,,,
ALD983192881,AL,1,AL115,WARNING LETTER,S  ,10/02/2008,,,,
ALD983193053,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/26/1997,,,,
ALD983193103,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/25/1998,,,,
ALD983193590,AL,1,HQ120,WRITTEN INFORMAL ,S  ,12/10/2008,,,,
ALD983193723,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/20/1991,,,,
ALD983193798,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/10/1995,,,,
ALD983194051,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/27/1997,,,,
ALD983194051,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/29/1998,,,,
ALD983194267,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/04/1998,,,,
ALD983194788,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,06/05/1996,,,,
ALD983194838,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/15/2002,,18000,,
ALD983195124,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/25/1993,,,,
ALD983195140,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/07/1993,,,,
ALN000407001,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/19/2000,,,,
ALN930324001,AL,1,HQ110,VERBAL INFORMAL,S  ,09/17/2001,,,,
ALN940211000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/12/1996,,,,
ALN960430000,AL,1,HQ210,INITIAL 3008(A) COMPLIANCE ,S  ,05/31/2001,,250000,,
ALN960430000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/16/1996,,,,
ALN960701000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/23/1996,,,,
ALN961001000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/05/1997,,,,
ALN970401000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/24/1998,,,,
ALN971003001,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/03/1997,,,,
ALN990816000,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/16/1999,,,,
ALR000000216,AL,1,AL115,WARNING LETTER,S  ,06/24/2011,,,,
ALR000000240,AL,1,AL115,WARNING LETTER,S  ,06/03/2009,,,,
ALR000000364,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,06/07/2011,,,,
ALR000000422,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/16/2003,,,,
ALR000000612,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,10/21/2002,,,,
ALR000000612,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/28/1998,,,,
ALR000000844,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/28/1994,,,,
ALR000000893,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/06/1995,,,,
ALR000001040,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/03/1998,,,,
ALR000001065,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,11/19/2003,,,,
ALR000001081,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/24/2003,,,,
ALR000001339,AL,1,AL115,WARNING LETTER,S  ,04/28/2006,,,,
ALR000001891,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/10/1996,,,,
ALR000001966,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,03/02/2006,,,,
ALR000001974,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/18/1998,,,,
ALR000002121,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/18/1998,,,,
ALR000002238,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,05/22/1996,,50000,,
ALR000002402,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/15/2005,,,,
ALR000002485,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/30/2005,,,,
ALR000002543,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/24/1996,,,,
ALR000002758,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/10/1997,,,,
ALR000002782,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/27/1995,,,,
ALR000002782,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/27/1995,,,,
ALR000002782,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/23/1996,,,,
ALR000002857,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/02/1996,,,,
ALR000002873,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/02/1996,,,,
ALR000002956,AL,1,AL115,WARNING LETTER,S  ,03/04/2008,,,,
ALR000003236,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/09/2017,,,,
ALR000003467,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/26/1996,500,,,
ALR000003467,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,03/18/1996,,500,,
ALR000003681,AL,1,AL115,WARNING LETTER,S  ,04/06/2009,,,,
ALR000003731,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/05/1997,,,,
ALR000003970,AL,1,AL115,WARNING LETTER,S  ,10/23/2006,,,,
ALR000004432,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/01/1999,,,,
ALR000004879,AL,1,AL115,WARNING LETTER,S  ,03/20/2013,,,,
ALR000004879,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,06/19/2014,,,,
ALR000004986,AL,1,AL115,WARNING LETTER,S  ,06/27/2008,,,,
ALR000005017,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/07/1996,,,,
ALR000005033,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/02/2002,,,,
ALR000005066,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/28/2003,,,,
ALR000005074,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/20/1996,,,,
ALR000005298,AL,1,AL115,WARNING LETTER,S  ,08/06/2012,,,,
ALR000005439,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/13/1996,,,,
ALR000005660,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/11/1996,,,,
ALR000005686,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/28/1998,,,,
ALR000005918,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/22/1998,,,,
ALR000006320,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/19/1998,,,,
ALR000006593,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,08/05/2014,,24000,,
ALR000006890,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/12/1996,,,,
ALR000006916,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/12/1997,,,,
ALR000007013,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/01/1997,,,,
ALR000007286,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/15/1997,,,,
ALR000007583,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,04/20/1998,,,,
ALR000007922,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/10/1997,,,,
ALR000008169,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/22/1997,20000,,,
ALR000008193,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/02/1997,,,,
ALR000008235,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/07/1997,,,,
ALR000008441,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/04/1997,,,,
ALR000008466,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/11/1997,,,,
ALR000008466,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/06/1999,,,,
ALR000008557,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/23/1998,,,,
ALR000008557,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/20/1998,,35000,,
ALR000008649,AL,1,AL115,WARNING LETTER,S  ,09/09/2008,,,,
ALR000008888,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/03/1997,,,,
ALR000008904,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/21/1999,,,,
ALR000009084,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,01/06/1998,,35000,,
ALR000009191,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/30/1998,,,,
ALR000009241,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/10/1999,,,,
ALR000009308,AL,1,AL115,WARNING LETTER,S  ,03/19/2007,,,,
ALR000009332,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/20/1998,,,,
ALR000009530,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/24/1998,,,,
ALR000009829,AL,1,AL115,WARNING LETTER,S  ,03/30/2015,,,,
ALR000009928,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/10/1998,,,,
ALR000009977,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/16/2003,,,,
ALR000010256,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/21/1998,,,,
ALR000010397,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/10/1999,,,,
ALR000010447,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/29/1998,,,,
ALR000010512,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/29/1998,,,,
ALR000010546,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/22/1998,,,,
ALR000011148,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/23/1998,,,,
ALR000011296,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/14/1999,,,,
ALR000011627,AL,1,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,11/22/2000,,,,
ALR000011650,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/22/1999,,,,
ALR000011924,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,04/11/2005,,,,
ALR000012062,AL,SFQ,AL835,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/12/2000,,,,
ALR000012682,AL,1,AL115,WARNING LETTER,S  ,07/23/2009,,,,
ALR000012757,AL,1,AL115,WARNING LETTER,S  ,06/13/2006,,,,
ALR000012757,AL,1,AL115,WARNING LETTER,S  ,06/30/2008,,,,
ALR000012773,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/04/2000,,,,
ALR000012864,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/22/2000,,,,
ALR000012898,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/06/2000,,,,
ALR000012930,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/14/2000,,,,
ALR000012989,AL,1,AL115,WARNING LETTER,S  ,11/04/2009,,,,
ALR000013128,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/24/2009,,,,
ALR000013128,AL,1,AL115,WARNING LETTER,S  ,06/16/2014,,,,
ALR000013177,AL,1,AL115,WARNING LETTER,S  ,04/27/2011,,,,
ALR000013326,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/10/2000,,,,
ALR000013458,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/11/2000,,,,
ALR000013490,AL,1,AL213,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/24/2002,,,,
ALR000013490,AL,1,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,10/29/2002,,,,
ALR000013490,AL,1,AL115,WARNING LETTER,S  ,12/13/2007,,,,
ALR000013490,AL,1,AL115,WARNING LETTER,S  ,12/04/2014,,,,
ALR000013565,AL,1,HQ120,WRITTEN INFORMAL ,S  ,12/01/2000,,,,
ALR000013979,AL,1,HQ120,WRITTEN INFORMAL ,S  ,11/28/2000,,,,
ALR000014019,AL,1,HQ120,WRITTEN INFORMAL ,S  ,12/04/2000,,,,
ALR000014183,AL,1,AL115,WARNING LETTER,S  ,08/24/2012,,,,
ALR000014266,AL,1,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/15/2004,250000,,,
ALR000014308,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/21/2001,,,,
ALR000014332,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/23/2003,,,,
ALR000014365,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/02/2001,,,,
ALR000014423,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/02/2001,,,,
ALR000014431,AL,1,HQ120,WRITTEN INFORMAL ,S  ,06/07/2012,,,,
ALR000014795,AL,1,AL115,WARNING LETTER,S  ,03/25/2008,,,,
ALR000015305,AL,1,AL115,WARNING LETTER,S  ,11/01/2012,,,,
ALR000018820,AL,1,AL115,WARNING LETTER,S  ,01/29/2015,,,,
ALR000019216,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/15/2005,,,,
ALR000019950,AL,1,HQ110,VERBAL INFORMAL,S  ,12/02/2004,,,,
ALR000021618,AL,1,AL115,WARNING LETTER,S  ,07/01/2016,,,,
ALR000022475,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/23/2002,,,,
ALR000022533,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,12/01/2005,,,,
ALR000023168,AL,1,AL115,WARNING LETTER,S  ,11/07/2007,,,,
ALR000023317,AL,1,AL115,WARNING LETTER,S  ,08/28/2007,,,,
ALR000025122,AL,1,AL115,WARNING LETTER,S  ,04/07/2009,,,,
ALR000025452,AL,1,HQ110,VERBAL INFORMAL,S  ,05/15/2012,,,,
ALR000025486,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/29/2007,,,,
ALR000025486,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/19/2008,,,,
ALR000025486,AL,1,AL115,WARNING LETTER,S  ,02/24/2016,,,,
ALR000025635,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/01/2002,,,,
ALR000025932,AL,1,HQ110,VERBAL INFORMAL,S  ,11/16/2004,,,,
ALR000026872,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,10/29/2004,,,,
ALR000027136,AL,1,AL115,WARNING LETTER,S  ,02/15/2008,,,,
ALR000028324,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/13/2003,,,,
ALR000028381,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,07/28/2008,,,,
ALR000028787,AL,1,AL212,FINAL DETERMINATION-ADMINISTRATIVE ORDER EXECUTED,S  ,01/28/2005,,,,
ALR000028803,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/28/2005,,,,
ALR000028829,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,04/10/2003,,,,
ALR000028985,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/08/2003,,,,
ALR000029181,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/16/2003,,,,
ALR000029207,AL,1,AL115,WARNING LETTER,S  ,06/07/2006,,,,
ALR000029348,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/24/2006,,,,
ALR000029538,AL,1,AL115,WARNING LETTER,S  ,04/08/2011,,,,
ALR000029686,AL,1,AL115,WARNING LETTER,S  ,09/08/2008,,,,
ALR000029702,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/05/2004,,,,
ALR000030163,AL,1,AL115,WARNING LETTER,S  ,04/05/2007,,,,
ALR000030221,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/22/2003,,,,
ALR000030254,AL,1,AL115,WARNING LETTER,S  ,08/12/2008,,,,
ALR000030643,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/08/2003,,,,
ALR000030890,AL,1,AL115,WARNING LETTER,S  ,04/13/2006,,,,
ALR000031419,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/05/2004,,,,
ALR000032409,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/24/2008,,,,
ALR000032458,AL,1,AL115,WARNING LETTER,S  ,03/03/2016,,,,
ALR000032573,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/24/2005,,,,
ALR000032672,AL,1,AL115,WARNING LETTER,S  ,09/03/2008,,,,
ALR000032755,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/01/2004,,,,
ALR000033571,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/15/2004,,,,
ALR000033852,AL,1,AL115,WARNING LETTER,S  ,12/05/2006,,,,
ALR000034280,AL,1,AL115,WARNING LETTER,S  ,01/22/2016,,,,
ALR000035519,AL,1,AL115,WARNING LETTER,S  ,08/24/2006,,,,
ALR000035915,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,04/11/2005,,,,
ALR000036814,AL,1,AL115,WARNING LETTER,S  ,03/10/2009,,,,
ALR000036863,AL,1,AL115,WARNING LETTER,S  ,09/19/2008,,,,
ALR000037135,AL,1,AL115,WARNING LETTER,S  ,10/23/2006,,,,
ALR000037259,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,10/11/2005,,,,
ALR000037952,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/27/2006,,,,
ALR000038109,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,03/30/2006,,,,
ALR000038323,AL,1,AL115,WARNING LETTER,S  ,06/30/2008,,,,
ALR000038323,AL,1,AL115,WARNING LETTER,S  ,08/23/2012,,,,
ALR000038372,AL,1,AL115,WARNING LETTER,S  ,05/12/2010,,,,
ALR000038406,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,03/13/2006,,,,
ALR000038406,AL,1,HQ120,WRITTEN INFORMAL ,S  ,08/03/2006,,,,
ALR000038604,AL,1,AL115,WARNING LETTER,S  ,02/18/2014,,,,
ALR000038893,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,10/06/2016,,,,
ALR000038919,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/13/2006,,,,
ALR000038950,AL,1,HQ120,WRITTEN INFORMAL ,S  ,11/08/2013,,,,
ALR000038984,AL,1,AL115,WARNING LETTER,S  ,10/24/2006,,,,
ALR000039081,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/20/2004,,,,
ALR000039081,AL,1,HQ610,FINAL CIVIL JUDICIAL ACTION FOR COMPLIANCE AND/OR MONETARY PENALTY,S  ,09/20/2007,,,,
ALR000039081,AL,1,AL115,WARNING LETTER,S  ,11/02/2009,,,,
ALR000039586,AL,1,AL115,WARNING LETTER,S  ,05/11/2007,,,,
ALR000040188,AL,1,AL115,WARNING LETTER,S  ,08/09/2012,,,,
ALR000040881,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/08/2014,,,,
ALR000040915,AL,1,AL115,WARNING LETTER,S  ,02/10/2015,,,,
ALR000041046,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/26/2007,,,,
ALR000041087,AL,1,AL115,WARNING LETTER,S  ,04/16/2007,,,,
ALR000042275,AL,1,AL115,WARNING LETTER,S  ,02/08/2012,,,,
ALR000042523,AL,1,AL115,WARNING LETTER,S  ,06/28/2007,,,,
ALR000042689,AL,1,AL115,WARNING LETTER,S  ,09/14/2015,,,,
ALR000042747,AL,1,AL115,WARNING LETTER,S  ,08/28/2007,,,,
ALR000042754,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,12/08/2016,,80000,,
ALR000042911,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/03/2008,,55000,,
ALR000043067,AL,1,AL115,WARNING LETTER,S  ,05/04/2009,,,,
ALR000043067,AL,1,HQ820,EPA TO STATE ADMINISTRATIVE REFERRAL,E  ,03/13/2015,,,,
ALR000043331,AL,1,AL115,WARNING LETTER,S  ,11/17/2014,,,,
ALR000043356,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/13/2017,,,,
ALR000043547,AL,1,AL115,WARNING LETTER,S  ,12/17/2007,,,,
ALR000043919,AL,1,AL115,WARNING LETTER,S  ,03/11/2008,,,,
ALR000044271,AL,1,AL115,WARNING LETTER,S  ,04/15/2008,,,,
ALR000044354,AL,1,AL115,WARNING LETTER,S  ,05/28/2008,,,,
ALR000044453,AL,1,AL115,WARNING LETTER,S  ,09/15/2015,,,,
ALR000044743,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/16/2010,,10000,,
ALR000044842,AL,1,AL115,WARNING LETTER,S  ,11/17/2008,,,,
ALR000044859,AL,1,AL115,WARNING LETTER,S  ,11/17/2008,,,,
ALR000044966,AL,1,AL115,WARNING LETTER,S  ,09/12/2008,,,,
ALR000044974,AL,1,AL115,WARNING LETTER,S  ,09/12/2008,,,,
ALR000044990,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/18/2017,,,,
ALR000045013,AL,1,AL115,WARNING LETTER,S  ,02/03/2017,,,,
ALR000045724,AL,1,AL115,WARNING LETTER,S  ,12/09/2009,,,,
ALR000045765,AL,1,AL115,WARNING LETTER,S  ,06/30/2015,,,,
ALR000046185,AL,1,AL115,WARNING LETTER,S  ,07/16/2009,,,,
