ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
ALD982082323,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/30/1998,N  
ALD981476914,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/11/1999,N  
ALD981477029,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/13/1989,Y  
ALD981477029,AL,1,FUI,FOLLOW-UP INSPECTION,S  ,04/26/1990,N  
ALD981477029,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/02/2004,Y  
ALD981477029,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/09/2005,N  
ALD981477086,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/08/2005,N  
ALD981477201,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/20/1997,N  
ALD981477433,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/21/1996,N  
ALD981477557,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/29/1988,N  
ALD981477557,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/03/1995,N  
ALD981477615,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/28/1990,Y  
ALD981477615,AL,2,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,09/19/1990,N  
ALD981478035,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/07/1993,Y  
ALD981478035,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/10/1993,Y  
ALD981478456,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/15/1998,Y  
ALD981478514,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/08/1996,N  
ALD981478548,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/21/2005,N  
ALD981478548,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/21/1997,N  
ALD981478571,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/15/2002,N  
ALD981478605,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/24/1998,Y  
ALD981478662,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/07/2004,Y  
ALD982082554,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/25/1990,N  
ALD982082554,AL,2,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,07/08/1990,N  
ALD982082554,AL,SFQ,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,01/30/1991,Y  
ALD982082562,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/27/1995,N  
ALD982082620,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/01/2002,Y  
ALD982082620,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/20/2002,Y  
ALD982082737,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/19/2002,N  
ALD982082737,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/25/2002,N  
ALD982082737,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/18/1998,Y  
ALD982082737,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/21/1998,Y  
ALD982082737,AL,SFQ,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,10/22/1998,Y  
ALD981932957,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/27/1997,N  
ALD981932957,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/04/1997,N  
ALD981932957,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/22/1997,Y  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/24/2000,N  
ALD021257951,AL,SAK,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/21/1994,N  
ALD008161416,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,X  ,05/12/2005,N  
ALD008161416,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/20/2005,N  
ALD008161416,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/17/2005,N  
ALD008161416,AL,1,FRR,FINANCIAL RECORD REVIEW,C  ,02/27/2006,N  
ALD008161416,AL,2,FRR,FINANCIAL RECORD REVIEW,E  ,08/17/1984,Y  
ALD008161416,AL,2,GME,GROUNDWATER MONITORING EVALUATION,S  ,03/28/1988,N  
ALD008161416,AL,2,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/26/2004,N  
ALD008161416,AL,3,GME,GROUNDWATER MONITORING EVALUATION,S  ,03/16/1988,N  
ALD008161416,AL,3,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/26/2004,N  
ALD008161416,AL,4,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,11/20/1985,Y  
ALD008161416,AL,4,FRR,FINANCIAL RECORD REVIEW,S  ,08/19/1988,N  
ALD008161416,AL,4,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/26/2004,N  
ALD008161416,AL,5,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,05/01/1985,Y  
ALD008161416,AL,5,GME,GROUNDWATER MONITORING EVALUATION,S  ,02/21/1989,N  
ALD008161416,AL,5,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/26/2004,N  
ALD008161416,AL,6,FRR,FINANCIAL RECORD REVIEW,S  ,12/22/1988,N  
ALD008161416,AL,7,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/14/1989,Y  
ALD021257951,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/21/1994,Y  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/09/1994,N  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/17/1994,N  
ALD021257951,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/20/1994,Y  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/21/1994,N  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/10/1995,N  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/30/1995,N  
ALD021257951,AL,SFQ,GME,GROUNDWATER MONITORING EVALUATION,S  ,04/04/1995,N  
ALD021257951,AL,SFQ,GME,GROUNDWATER MONITORING EVALUATION,S  ,04/05/1995,N  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/06/1995,N  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/25/1995,N  
ALD021257951,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/09/1995,Y  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/17/1995,N  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/22/1996,N  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/10/1996,N  
ALD021257951,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/26/1996,Y  
ALD008161416,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/28/1995,Y  
ALD008161416,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/13/1995,Y  
ALD008161176,AL,SFQ,FRR,FINANCIAL RECORD REVIEW,S  ,05/01/1997,N  
ALD008161176,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/29/1997,N  
ALD008161176,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/11/1997,Y  
ALD004019691,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/12/1997,Y  
ALD004019691,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/06/1997,Y  
ALD004019691,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/29/1998,Y  
ALD004019691,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/10/1998,Y  
ALD004019691,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/13/1999,N  
ALD004020210,AL,2,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/10/1988,Y  
ALD004020210,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/25/1993,Y  
ALD004020210,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/29/1996,Y  
ALD004020210,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/06/1996,Y  
ALD004020210,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/22/1996,Y  
ALD004020210,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/10/1996,Y  
ALD004020210,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/22/1996,N  
ALD004020855,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/30/2004,Y  
ALD004020855,AL,4,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/09/1987,Y  
ALD004020855,AL,5,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/09/1987,N  
ALD004020855,AL,6,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/17/1989,Y  
ALD004020855,AL,8,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,09/28/1989,Y  
ALD004020855,AL,9,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/20/1990,Y  
ALD008161176,AL,SFQ,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,11/18/1999,N  
ALD008161176,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/16/1999,N  
ALD008161176,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/27/2000,N  
ALD008161176,AL,SFQ,FRR,FINANCIAL RECORD REVIEW,S  ,05/15/2000,N  
ALD008161176,AL,SFR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/22/1997,N  
ALD059661454,AL,7,CSE,COMPLIANCE SCHEDULE EVALUATION,E  ,09/17/1985,N  
ALD059661454,AL,11,FRR,FINANCIAL RECORD REVIEW,S  ,03/06/1987,N  
ALD059661454,AL,12,FRR,FINANCIAL RECORD REVIEW,S  ,01/11/1988,N  
ALD059661454,AL,13,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,01/19/1989,N  
ALD059661454,AL,14,FRR,FINANCIAL RECORD REVIEW,S  ,03/28/1989,N  
ALD059661454,AL,17,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/21/1989,Y  
ALD058223371,AL,SFQ,GME,GROUNDWATER MONITORING EVALUATION,S  ,05/18/1994,N  
ALD054571278,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/15/1993,N  
ALD054571278,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/29/1994,Y  
ALD054571278,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/01/1994,N  
ALD054571278,AL,SFQ,GME,GROUNDWATER MONITORING EVALUATION,S  ,10/12/1994,N  
ALD054571278,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/31/1994,N  
ALD054571278,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/05/1995,N  
ALD054571278,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/10/1995,N  
ALD054571278,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/11/1995,N  
ALD054571278,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/24/1995,Y  
ALD054571278,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/01/1996,Y  
ALD054571278,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/14/1996,N  
ALD054571278,AL,SFQ,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,11/12/1996,N  
ALD054571278,AL,SFQ,FRR,FINANCIAL RECORD REVIEW,S  ,01/17/1997,N  
ALD054571278,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/20/1997,N  
ALD054571278,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/01/1997,N  
ALD054571278,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/15/1997,N  
ALR000018531,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,12/06/2005,Y  
ALR000018531,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/06/2005,Y  
ALR000019067,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/15/2005,Y  
ALR000010538,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/25/2005,Y  
ALR000010546,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/22/1998,Y  
ALR000010546,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/26/1998,Y  
ALR000010553,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/23/1998,Y  
ALR000010553,AL,SFQ,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,12/04/1998,Y  
ALR000009985,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/09/1998,N  
ALR000009993,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/20/2001,N  
ALR000010009,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/10/1998,Y  
ALR000010009,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/17/1998,Y  
ALR000010017,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/10/1998,Y  
ALR000010017,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/14/1998,Y  
ALD983180597,AL,1,FRR,FINANCIAL RECORD REVIEW,S  ,02/23/2004,Y  
ALD983180597,AL,1,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,04/13/2004,U  
ALD983192196,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/11/1994,N  
ALD983192196,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/10/1996,N  
ALD983191537,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/06/2001,Y  
ALD983191537,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/20/2001,Y  
ALD983180175,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/03/1998,Y  
ALD983180175,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/20/1998,Y  
ALD983180175,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/24/1998,Y  
ALD983180175,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/05/1998,Y  
ALD983180175,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/01/1998,Y  
ALD983180175,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,07/23/1998,N  
ALD983180175,AL,SFQ,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,07/30/1998,Y  
ALD983180175,AL,SFR,CDI,CASE DEVELOPMENT INSPECTION,S  ,01/15/1998,Y  
ALD983180175,AL,SFR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/24/1998,Y  
ALD983180183,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/08/2005,Y  
ALD983173774,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/09/1991,Y  
ALD983173774,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/27/1998,N  
ALD983173782,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/04/1999,N  
ALD983173790,AL,0,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,X  ,12/12/1995,Y  
ALD983173790,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/12/1995,N  
ALD983173808,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/16/1990,Y  
ALD983173808,AL,SFQ,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,04/02/1991,Y  
ALD983173808,AL,SFQ,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,05/27/1991,N  
ALD983173816,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/29/1998,N  
ALD983173832,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/16/2003,Y  
ALD983173832,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/17/2005,N  
ALD983173840,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/29/1998,N  
ALD983173873,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/15/1998,Y  
ALD983173881,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/16/1998,N  
ALD983173899,AL,1,CAV,COMPLIANCE ASSISTANCE VISIT,E  ,08/24/2004,N  
ALD983173899,AL,1,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,08/24/2004,N  
ALD983173907,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/05/1994,Y  
ALD983173915,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/27/2005,Y  
ALD983173915,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/30/2005,Y  
ALD983173915,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/09/1994,N  
ALD983173923,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/18/1998,Y  
ALD983173931,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/14/2004,N  
ALD983173931,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/31/1998,Y  
ALD983172602,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/20/1996,Y  
ALD983172602,AL,SFQ,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,05/30/1996,Y  
ALD983172602,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/17/1996,N  
ALD983179748,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/24/1996,Y  
ALD983179748,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/10/1997,Y  
ALD983179763,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/04/1996,Y  
ALD983179763,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/13/1997,Y  
ALD983172685,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/25/1998,Y  
ALD983172685,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/30/1998,Y  
ALD983172685,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/15/1998,Y  
ALD983173097,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/22/1994,N  
ALD983173121,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/22/1999,N  
ALD983173139,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/29/2000,N  
ALD983173139,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,X  ,11/29/2000,N  
ALD983173139,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/17/2002,N  
ALD983173139,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,X  ,04/17/2002,N  
ALD983173139,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/01/1996,Y  
ALD982167678,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/11/1995,N  
ALD982167678,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/17/1996,N  
ALD982167678,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/20/1998,Y  
ALD982167678,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/25/1998,Y  
ALD982167678,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/02/1998,Y  
ALD982167678,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/23/1998,Y  
ALD982167678,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/12/1999,Y  
ALD982167736,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/06/1993,Y  
ALD982167736,AL,SFQ,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,03/30/1993,N  
ALD982167736,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/11/1996,Y  
ALD982167900,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/22/1996,N  
ALD982168023,AL,2,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/23/1989,Y  
ALR000005033,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/05/1996,Y  
ALR000005033,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/05/1997,N  
ALR000009142,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/16/1998,Y  
ALR000009142,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/18/1998,Y  
ALR000009142,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/30/1998,Y  
ALR000009142,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/16/1998,Y  
ALR000009142,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/22/1999,N  
ALR000009142,AL,SFR,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,12/16/1998,N  
ALR000004002,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/29/1996,N  
ALR000004010,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/14/1996,Y  
ALR000004010,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/13/1996,Y  
ALR000004093,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/30/1996,N  
ALR000004101,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/10/1998,Y  
ALR000004127,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/07/1996,Y  
ALR000004127,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/09/1996,Y  
ALR000004176,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/06/1998,N  
ALR000004184,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/14/1996,Y  
ALN980219001,AL,SFQ,CAC,CORRECTIVE ACTION COMPLIANCE EVALUATION,S  ,02/19/1998,Y  
ALN980220000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/20/1998,Y  
ALN980220000,AL,SFQ,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,04/30/1998,Y  
ALN980220000,AL,SFR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/30/1998,Y  
ALN980223000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/23/1998,N  
ALN980223001,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/23/1998,Y  
ALN980223001,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/14/1998,Y  
ALN980223001,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,06/04/1998,Y  
ALN980223001,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/26/1998,Y  
ALN980223001,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/25/1998,Y  
ALN980224000,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/24/1998,N  
ALN980225000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/25/1998,N  
ALN980303000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/03/1998,N  
ALN980305000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/05/1998,N  
ALN980305001,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/05/1998,N  
ALN980305001,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,03/26/1998,N  
ALN980306000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/06/1998,N  
ALN980316000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/16/1998,N  
ALN980317000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/17/1998,N  
ALN980325000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/25/1998,N  
ALN980327000,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/27/1998,Y  
ALN980408000,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/08/1998,N  
ALR000004432,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/29/1998,Y  
ALR000004432,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/08/1999,Y  
ALR000004432,AL,SFQ,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/01/1999,Y  
ALR000003434,AL,SFQ,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/10/1998,N  
ALR000003459,AL,SFQ,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,12/21/1995,Y  
