ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
ALD094476793,AL,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,E  ,04/08/2015,04/23/2015,
ALR000025486,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,02/23/2016,02/24/2016,02/25/2016
ALR000045013,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,E  ,12/15/2016,12/15/2016,
ALR000049064,AL,279.C,Standards for Used Oil Generators,E  ,12/14/2016,12/14/2016,
ALD981867062,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/14/2016,12/02/2016,
ALD983177163,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,08/25/2016,09/08/2016,
ALD000622464,AL,PCR,Violation of a permit condition or requirement,E  ,11/17/2015,03/02/2016,
ALR000038893,AL,279.C,Standards for Used Oil Generators,S  ,05/06/2016,07/29/2016,07/22/2016
ALR000014019,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/04/2000,01/05/2001,
ALR000058081,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/25/2016,03/14/2016,
ALD079474037,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,11/30/2000,02/16/2001,
ALR000059956,AL,261.A,ID and Listing of HW: General,S  ,01/24/2018,06/28/2018,03/05/2018
ALD047158266,AL,270.A,EPA Administered Permit Programs: the HW Permit Program General Information,S  ,08/23/2017,12/19/2017,09/28/2017
ALR000023143,AL,263.A,Standards Applicable to Transporters of HW: General,S  ,06/10/2009,08/31/2009,08/13/2009
ALR000046441,AL,279.C,Standards for Used Oil Generators,S  ,08/27/2009,08/27/2009,10/01/2009
ALD008161416,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,12/09/2009,03/08/2010,03/08/2010
ALR000044826,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,01/15/2009,08/24/2009,05/22/2009
ALD983176520,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,12/17/2009,02/22/2010,02/25/2010
ALD000622464,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,11/16/2009,02/20/2010,
ALD981020894,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,E  ,02/14/2001,09/13/2001,
ALD008163388,AL,264.F,Standards for Owners and Operators of HW TSDs: Releases from Solid Waste Managem,S  ,11/19/2008,02/17/2009,02/19/2009
ALD079474037,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,03/23/2016,05/05/2016,
ALR000008854,AL,263.B,Standards Applicable to Transporters of HW: Compliance with the Manifest System ,S  ,01/10/2001,11/16/2001,
ALD983180373,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,02/05/2002,06/04/2002,05/31/2002
ALD983180373,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/05/2002,06/03/2002,05/31/2002
ALR000006247,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,05/12/2002,01/14/2003,
ALD981023484,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/26/2007,12/07/2007,01/07/2008
ALD004019642,AL,268.A,Land Disposal Restrictions: General,S  ,04/30/2003,08/12/2003,08/14/2003
ALR000025551,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/22/2002,03/22/2002,
ALR000000380,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/24/2002,11/25/2002,
AL0000486142,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/13/2003,04/25/2003,05/30/2003
ALD031612732,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/03/2003,05/21/2003,03/05/2003
ALR000030544,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/19/2003,10/22/2003,10/24/2003
ALR000032524,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/11/2004,07/19/2004,07/22/2004
ALD983179748,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/28/2003,05/30/2003,
ALD981757842,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,06/25/2003,08/06/2003,08/06/2003
ALR000029678,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/10/2003,07/08/2003,
ALR000030239,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/11/2003,01/09/2004,
ALD004023180,AL,264.K,Standards for Owners and Operators of HW TSDs: Surface Impoundments,S  ,06/03/2003,08/15/2003,08/16/2003
ALD093187169,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/21/2003,01/28/2004,
ALD982142960,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/10/2003,07/14/2004,08/25/2003
ALD981024375,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/15/2003,10/15/2003,10/25/2003
ALD000771949,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,07/02/2003,08/21/2003,08/26/2003
ALR000001313,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/18/2004,06/04/2004,06/18/2004
ALD137666855,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/06/2004,06/07/2004,06/07/2004
ALD983182965,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/05/2004,01/14/2005,
ALR000027680,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/25/2004,08/19/2004,
ALR000005884,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,03/23/2004,08/19/2004,06/13/2004
ALR000034421,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/28/2004,06/03/2005,02/14/2005
ALR000015826,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/19/2004,09/13/2004,09/20/2004
ALD000622464,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,11/30/2004,04/08/2005,04/14/2005
ALR000034702,AL,262.A,Standards Applicable to Generators of HW: General,S  ,01/12/2005,03/16/2005,02/14/2005
ALD048893671,AL,262.A,Standards Applicable to Generators of HW: General,S  ,01/07/2005,02/08/2005,02/15/2005
ALD982111171,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/13/2005,07/13/2005,06/27/2005
ALD067111450,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,07/30/2004,09/23/2004,10/07/2004
ALD067111450,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/30/2004,09/23/2004,10/07/2004
ALD067111450,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/30/2004,09/23/2004,10/07/2004
ALR000010538,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,11/04/2004,03/09/2005,02/11/2005
ALR000036855,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/23/2005,09/13/2005,10/05/2005
ALR000031211,AL,262.A,Standards Applicable to Generators of HW: General,S  ,09/15/2005,09/16/2005,10/17/2005
ALD983191891,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/31/2005,05/05/2005,05/16/2005
ALR000035980,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/06/2005,12/06/2005,05/22/2005
ALR000014795,AL,262.A,Standards Applicable to Generators of HW: General,S  ,01/30/2008,07/09/2008,04/25/2008
ALD983190935,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/29/2016,03/16/2016,03/23/2016
ALD982129058,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,07/13/2006,09/07/2006,
ALR000023564,AL,279.C,Standards for Used Oil Generators,S  ,05/03/2006,02/26/2007,
ALR000010538,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/25/2005,01/09/2006,12/02/2005
ALD044889624,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,08/10/2006,10/17/2006,10/15/2006
ALR000009571,AL,279.E,Standards for Used Oil Transporter and Transfer Facilities,S  ,08/03/2006,06/08/2007,
ALR000008110,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,05/11/2006,08/04/2006,09/03/2006
ALD981923188,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,05/24/2006,07/25/2006,
ALR000025247,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,01/25/2007,03/21/2007,03/21/2007
ALD004019048,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/04/2007,05/10/2007,05/18/2007
ALD021257357,AL,262.A,Standards Applicable to Generators of HW: General,S  ,09/22/2005,02/12/2006,03/09/2006
ALD093179315,AL,279.C,Standards for Used Oil Generators,S  ,04/27/2006,06/27/2006,06/27/2006
ALR000018192,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/08/2006,05/25/2006,05/01/2006
ALD084956911,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/31/2006,12/11/2006,12/05/2006
ALD004019691,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,09/22/1989,08/30/1990,01/03/1990
ALR000014332,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,09/26/2006,06/08/2007,06/08/2007
ALD983174681,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,10/20/2006,06/08/2007,01/29/2007
ALR000040246,AL,261.A,ID and Listing of HW: General,S  ,11/16/2006,08/20/2007,01/10/2007
ALD983180076,AL,279.C,Standards for Used Oil Generators,S  ,06/04/2007,10/17/2007,08/18/2007
ALR000041020,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,03/13/2007,06/15/2007,06/13/2007
ALD005346432,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,12/18/2007,02/22/2008,02/23/2008
ALD981023427,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,09/13/2007,11/02/2007,
ALR000058198,AL,279.F,Standards for Used Oil Processors and Re-Refiners,S  ,03/29/2017,05/04/2017,05/18/2017
ALD982092579,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,01/24/2017,03/14/2017,02/13/2017
ALD057202558,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,E  ,11/23/2010,06/28/2011,
ALR000046847,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,12/07/2009,01/13/2010,01/06/2010
ALD981922115,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/21/2010,07/12/2010,
ALD004010468,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,03/25/2010,03/25/2010,04/30/2010
ALR000022038,AL,279.C,Standards for Used Oil Generators,S  ,05/12/2008,05/12/2008,
ALD004001731,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,09/13/2007,12/06/2007,12/12/2007
ALD057202558,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,11/23/2010,06/28/2011,07/01/2011
ALD057202558,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/23/2010,06/28/2011,
ALD983171638,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,04/09/2012,07/11/2012,06/28/2012
ALD983171638,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/09/2012,07/11/2012,06/28/2012
ALR000032672,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,03/18/2008,09/23/2008,
ALR000038919,AL,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Pr,S  ,04/18/2012,07/03/2013,
ALD050981687,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,05/16/2012,06/13/2012,07/12/2012
ALR000014431,AL,279.C,Standards for Used Oil Generators,S  ,04/10/2012,01/04/2013,
ALR000033266,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/22/2012,10/24/2013,
ALD009825944,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/14/2012,06/19/2012,06/19/2012
ALD004001731,AL,264.E,"Standards for Owners and Operators of HW TSDs: Manifest System, Recordkeeping, a",S  ,03/02/2012,05/21/2012,
ALR000008649,AL,279.C,Standards for Used Oil Generators,S  ,09/26/2008,01/08/2009,
ALD982079980,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,E  ,02/10/2009,,
ALD050981687,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,E  ,07/16/2009,07/16/2009,
ALR000036640,AL,279.C,Standards for Used Oil Generators,S  ,08/13/2008,08/29/2008,09/15/2008
ALD982125213,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,05/12/2009,08/04/2009,07/01/2009
ALR000030536,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/24/2008,09/10/2008,09/25/2008
ALR000032847,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,04/16/2009,05/18/2009,05/29/2009
ALD983176520,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,07/17/2014,09/10/2014,
ALD982167678,AL,270.A,EPA Administered Permit Programs: the HW Permit Program General Information,S  ,10/10/2013,09/21/2015,
ALR000040881,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,E  ,11/19/2013,05/30/2014,
AL0000262626,AL,279.C,Standards for Used Oil Generators,S  ,06/04/2009,06/29/2009,
ALD000622464,AL,PCR,Violation of a permit condition or requirement,S  ,04/15/2014,04/17/2014,04/17/2014
ALR000026872,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,11/06/2013,04/25/2014,
ALR000052712,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/18/2014,05/20/2014,
ALR000056200,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,E  ,11/21/2013,,
ALD004011342,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,04/21/2014,07/16/2014,07/16/2014
ALD075457309,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/13/2011,09/26/2011,10/13/2011
ALD081391492,AL,265.G,Interim Status Standards for Owners and Operators of HW TSDs: Closure and Post-C,S  ,12/17/2009,06/21/2011,
ALR000013177,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,04/27/2011,05/16/2011,
ALD067127225,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,03/25/2011,11/18/2011,05/13/2011
ALD067127225,AL,265.W,Interim Status Standards for Owners and Operators of HW TSDs: Drip Pads,S  ,03/25/2011,11/18/2011,05/13/2011
ALD062464748,AL,268.A,Land Disposal Restrictions: General,S  ,06/10/2011,08/23/2011,09/08/2011
ALR000047423,AL,279.C,Standards for Used Oil Generators,S  ,06/23/2010,07/12/2010,07/23/2010
ALR000030122,AL,279.C,Standards for Used Oil Generators,S  ,06/19/2008,07/22/2008,08/07/2008
ALD982079626,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/20/2007,10/18/2007,
ALR000012757,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,06/05/2008,07/25/2008,
ALD047154182,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,07/17/2007,01/07/2008,
ALD983166638,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,05/12/2009,06/08/2009,07/29/2009
ALD128411535,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,06/17/2008,08/29/2008,08/29/2008
ALD983180373,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,02/13/2008,12/03/2008,
ALD079474037,AL,279.C,Standards for Used Oil Generators,S  ,05/20/2009,07/09/2009,
ALR000053470,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/27/2016,10/13/2016,10/07/2016
ALR000008276,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,01/28/2010,07/29/2010,
ALR000006817,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,07/21/2016,07/25/2016,09/08/2016
ALR000058271,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/22/2016,11/09/2016,11/18/2016
ALR000058271,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,03/22/2016,11/09/2016,11/18/2016
ALD059903641,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,07/28/2016,10/26/2016,11/07/2016
ALD004018354,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/21/2011,02/07/2011,02/25/2011
ALR000041194,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/20/2009,04/20/2009,04/20/2009
ALD004020855,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,02/24/2010,07/29/2010,
ALR000008110,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,03/30/2009,05/04/2009,
ALD000648014,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,09/23/2009,10/14/2009,10/25/2009
ALR000029686,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/04/2008,03/24/2009,
ALD980843940,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,02/24/2010,06/15/2010,
AL8180090039,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/02/2009,09/03/2009,10/02/2009
ALD004020855,AL,279.C,Standards for Used Oil Generators,S  ,02/24/2010,07/29/2010,
ALR000018523,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,02/25/2010,03/24/2010,04/02/2010
ALD004023164,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,10/25/2006,02/07/2007,03/09/2007
ALD983180233,AL,262.A,Standards Applicable to Generators of HW: General,E  ,08/25/2010,12/13/2010,
ALR000045013,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/16/2010,07/29/2010,
ALR000049510,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,08/24/2011,10/24/2011,11/02/2011
ALD084948157,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,04/07/2011,01/06/2012,08/01/2011
ALD981756968,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,10/18/2011,11/16/2011,
ALR000049700,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,11/29/2011,05/29/2012,03/30/2012
ALR000033308,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,02/08/2012,03/01/2012,03/12/2012
ALR000043976,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,12/01/2011,11/30/2012,
ALD000622464,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/08/2018,06/04/2018,06/11/2018
ALR000049700,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/29/2011,05/29/2012,03/30/2012
ALR000049700,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,11/29/2011,05/29/2012,03/30/2012
ALR000049700,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,11/29/2011,05/29/2012,
ALD059903641,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,04/12/2012,04/20/2012,
ALR000047878,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,06/18/2012,09/18/2012,09/13/2012
ALD004022166,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,07/28/2011,08/25/2011,08/29/2011
ALR000010009,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,03/01/2012,03/01/2012,03/30/2012
ALD004002077,AL,279.C,Standards for Used Oil Generators,S  ,11/21/2011,12/19/2011,12/21/2011
ALD983195017,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/26/2010,04/01/2010,
ALR000053389,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,05/14/2013,05/17/2013,06/13/2013
ALD010394021,AL,PCR,Violation of a permit condition or requirement,S  ,11/23/2010,02/17/2011,02/28/2011
ALR000023473,AL,279.C,Standards for Used Oil Generators,S  ,06/26/2012,08/01/2012,07/27/2012
ALD983187873,AL,279.C,Standards for Used Oil Generators,S  ,10/31/2012,10/31/2012,03/05/2013
ALR000030940,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/15/2013,06/13/2013,06/14/2013
ALR000013128,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,05/15/2012,06/06/2012,
ALD981020894,AL,265.BB,Interim Status Standards for Owners and Operators of HW TSDs: Air Emission Stand,S  ,10/18/2012,02/26/2013,
ALD061137055,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/30/2010,04/23/2010,05/05/2010
ALD983171638,AL,270.A,EPA Administered Permit Programs: the HW Permit Program General Information,S  ,07/31/2012,05/06/2013,
ALR000050948,AL,268.A,Land Disposal Restrictions: General,E  ,11/29/2012,05/15/2013,
ALR000054049,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/22/2013,04/01/2013,03/25/2013
AL0000266569,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,06/01/2012,10/18/2012,
ALR000046078,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,04/27/2011,09/21/2011,09/21/2011
ALR000015354,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,E  ,11/27/2012,12/21/2012,
ALR000000612,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/12/2015,11/23/2015,12/12/2015
ALD052682762,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,06/21/2012,08/21/2012,
ALR000036939,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,07/01/2015,07/11/2015,08/17/2015
ALR000047878,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/18/2012,09/18/2012,
ALD982121410,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/18/2014,04/23/2015,
ALD981472798,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,E  ,11/07/2013,,
ALR000058511,AL,279.C,Standards for Used Oil Generators,S  ,02/19/2015,02/19/2015,
ALR000034769,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/29/2012,08/08/2012,07/30/2012
ALD983171505,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,03/25/2015,06/08/2015,05/15/2015
ALD062464748,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/27/2012,08/27/2012,08/27/2012
ALR000038182,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,05/14/2015,06/08/2015,06/19/2015
ALD094476793,AL,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,S  ,04/08/2015,04/23/2015,
ALR000043067,AL,279.C,Standards for Used Oil Generators,S  ,03/10/2015,03/10/2015,06/05/2015
ALD052065117,AL,265.BB,Interim Status Standards for Owners and Operators of HW TSDs: Air Emission Stand,S  ,08/07/2012,08/15/2012,09/06/2012
ALR000038323,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/23/2012,09/14/2012,09/24/2012
ALD031482037,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,06/05/2015,07/07/2015,07/06/2015
ALR000058826,AL,279.C,Standards for Used Oil Generators,S  ,06/08/2015,06/26/2015,07/08/2015
ALD983191297,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/21/2013,01/06/2014,
ALR000000505,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/18/2013,07/24/2013,09/02/2013
ALD982111494,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,09/19/2013,03/03/2014,
ALR000034082,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,02/13/2013,02/18/2013,
ALR000055517,AL,279.C,Standards for Used Oil Generators,S  ,08/19/2015,08/19/2015,10/02/2015
ALR000047977,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/02/2018,12/18/2018,
ALR000042739,AL,262.M,"Standards Applicable to Generators Preparedness, Prevention, and Emergency Procedures",S  ,03/05/2019,03/14/2019,04/11/2019
ALD072095169,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,12/04/2014,12/12/2014,
ALR000044768,AL,279.F,Standards for Used Oil Processors and Re-Refiners,S  ,12/09/2014,05/08/2015,
ALR000018820,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/29/2015,02/04/2015,03/02/2015
ALD004001715,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/09/2000,01/10/2001,02/09/2001
ALD004001715,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,03/09/2000,01/10/2001,08/04/2000
ALR000012286,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,09/06/2000,01/25/2001,11/12/2000
ALN970211000,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/11/1997,03/19/1997,03/13/1997
ALN971024000,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/24/1997,12/03/1997,11/23/1997
ALN980826000,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/26/1998,09/24/1998,09/26/1998
ALN990330001,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/30/1999,06/21/1999,05/01/1999
ALN930823001,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/23/1993,09/30/1993,10/12/1993
ALD982123184,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,08/06/2015,08/06/2015,09/07/2015
AL0000989541,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,11/11/1998,12/23/1998,12/11/1998
AL2640090005,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,E  ,07/28/1994,11/16/1994,
ALD983173808,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,10/16/1990,04/02/1991,05/17/1991
AL0000942292,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/17/2007,06/07/2007,
